Abkhaz
Adyghe
Afar
Afrikaans
Ainu
Gheg Albanian
Albanian
Aleut
Altai
Amharic
Arabic
Aramaic_(Syriac)
Arbanaski
Armenian
Armenian_(Classical)
Armenian_(Eastern)
Assamese
Assyro-Babylonian
Avar
Avestan
Azerbaijani
Baluchi
Basaa
Bashkir
Basque
Bavarian
Belarusian
Bemba
Bengali
Bihari
Bole
Brahui
Brazilian
Breton
Bulgarian
Burmese
Burushaski
Buryat
Buyang
Catalan
Cebuano
Chechen
Chinese_(Cantonese)
Chinese
Chuvash
Comorian
Coptic
Cornish
Croatian
Czech
Dalmatian
Danish
Dargwa
Divehi
Dizi
Douala
Dutch
Elamite
English
Estonian
Etruscan
Even
Faroese
Finnish
Flemish
French
French_Creole_C
French_Creole_D
Frisian
Friulian
Fula
Galician
Gaulish
Geez
Gelao
Georgian
German
Gothic
Greek_(ancient)
Greek
Greenlandic_(Eastern)
Greenlandic_(Western)
Gujarati
Gypsy_Romani
Hausa
Hebrew
Hindi
Hittite
Hungarian
Hurrian
Icelandic
Igbo
Indonesian
Irish
Ishkashimi
Istro-Romanian
Italian
Japanese
Javanese
Kabardino_Cherkess
Kabylian
Kalasha
Kalmyk
Kannada
Karelian
Kashmiri
Kazakh
Ket
Khanti
Khmer
Khowar
Kivalliq
Komi
Korean
Kurdish
Kurukh
Kyrgyz
Labrador_Inuttut
Ladin
Lahnda
Lak
Lao
Latin
Latvian
Letzebuergesch
Lezgian
Lithuanian
Luwian
Lycian
Macedonian
Magahi
Malagasy
Malayalam
Maltese
Manchu
Mansi
Maori
Marathi
Mari
Marwari
Middle_Persian
Mon
Mongolian
Mycenaean
Nayi
Nenets
Nepali
Norwegian Bokmål
Norwegian Nynorsk
Old_Church_Slavonic
Old_Egyptian
Old_English
Old_High_German
Old_Irish
Old_Norse
Old_Persian
Oriya
Oromo
Oroqen
Oscan
Ossetic
Ossetic_(Iron)
Pashto
Pennsylvania_Dutch
Persian
Phoenician
Phrygian
Polish
Portuguese
Proto_Indo_European
Provencal
Prussian
Punjabi
Romanian
Romansch
Russian
Safaitic
Saka
Sami
Samoan
Sanskrit
Sanskrit_(Vedic)
Sardinian_L
Sardinian_N
Sariqoli
Schwyzerduetsch
Scots
Scottish Gaelic
Serbian
Shan
Sheko
Sindhi
Sinhalese
Slovak
Slovenian
Sogdian
Somali
Spanish
Sranan
Sumerian
Swahili
Swedish
Tagalog
Tahitian
Tajik
Tamasheq
Tamil
Tashelhit
Tatar
Tausug
Telugu
Thai
Tibetan
Tigrigna
Tmazight_(Riffian_Berber)
Tocharian_A
Tocharian_B
Tsakonian
Turkish
Turkmen
Tuvan
Ukrainian
Umbrian
Urartian
Urdu
Uyghur
Uzbek
Veps
Vietnamese
Vlach
Wakhi
Walloon
Warji
Waziri
Welsh
Wolof
Yakut
Yiddish
Yoruba
Yupik
Zazaki
Zulu
